NetworkName	datasets	LLS
MCS_SCS	24374284	18.0
MCS_SCS	21566516	18.0
MCS_SCS	17886299	18.0
MCS_SCS	9833038	18.0
MCS_SCS	17886298	18.0
MCS_SCS	17334657	18.0
MCS_SCS	20576349	18.0
MCS_SCS	21242967	18.0
MCS_SCS	11149425	18.0
MCS_SCS	16333314	18.0
MCS_SCS	11042367	18.0
MCS_SCS	19479271	18.0
MCS_SCS	6460044	18.0
MCS_SCS	12859407	18.0
MCS_SCS	20170898	18.0
MCS_SCS	16247070	18.0
MCS_SCS	8787675	13.37420461354264
MCS_SCS	24796542	12.681057432982694
MCS_SCS	27664052	18.0
MCS_SCS	16274666	18.0
MCS_SCS	27425891	18.0
MCS_SCS	18178469	11.98791025242275
MCS_SCS	12859417	18.0
MCS_SCS	12859414	18.0
MCS_SCS	26039449	18.0
MCS_SCS	9475603	18.0
MCS_SCS	12859411	18.0
MCS_SCS	16429402	18.0
MCS_SCS	31369919	18.0
MCS_SCS	16429405	18.0
MCS_SCS	8968757	18.0
MCS_SCS	18094336	18.0
MCS_SCS	19129059	18.0
MCS_SCS	9055797	18.0
MCS_SCS	22903915	18.0
MCS_SCS	14702039	18.0
MCS_SCS	8738659	18.0
MCS_SCS	15811009	18.0
MCS_SCS	9546354	18.0
MCS_SCS	1349567	18.0
MCS_SCS	27282546	18.0
MCS_SCS	15728199	18.0
MCS_SCS	9101304	18.0
MCS_SCS	9067761	18.0
MCS_SCS	8968741	18.0
MCS_SCS	9101300	18.0
MCS_SCS	31056671	18.0
MCS_SCS	9067760	18.0
MCS_SCS	24519770	18.0
MCS_SCS	30391088	18.0
MCS_SCS	15082767	18.0
MCS_SCS	10355668	18.0
MCS_SCS	8968749	18.0
MCS_SCS	28161430	18.0
MCS_SCS	25388407	18.0
MCS_SCS	11919560	18.0
MCS_SCS	17803937	18.0
MCS_SCS	7604264	18.0
MCS_SCS	7604265	18.0
MCS_SCS	28450710	18.0
MCS_SCS	7833149	18.0
MCS_SCS	9546340	18.0
MCS_SCS	15811015	18.0
MCS_SCS	9067759	18.0
MCS_SCS	26687144	18.0
MCS_SCS	9067757	18.0
MCS_SCS	25136889	18.0
MCS_SCS	12271141	18.0
MCS_SCS	23374270	18.0
MCS_SCS	27582512	18.0
MCS_SCS	1349575	18.0
MCS_SCS	15070752	13.779669721650805
MCS_SCS	1409720	18.0
MCS_SCS	28630650	18.0
MCS_SCS	16416111	18.0
MCS_SCS	17213273	11.98791025242275
MCS_SCS	17213282	18.0
MCS_SCS	10632938	18.0
MCS_SCS	24531328	18.0
MCS_SCS	12766977	18.0
MCS_SCS	22553128	18.0
MCS_SCS	24708098	18.0
MCS_SCS	8968763	13.37420461354264
MCS_SCS	25352456	18.0
MCS_SCS	36452	18.0
MCS_SCS	19191333	18.0
MCS_SCS	8702665	18.0
MCS_SCS	2937239	18.0
MCS_SCS	14740320	18.0
MCS_SCS	12847523	18.0
MCS_SCS	29788902	18.0
MCS_SCS	11223851	18.0
MCS_SCS	27328748	18.0
MCS_SCS	9328244	18.0
MCS_SCS	17803911	18.0
MCS_SCS	25868664	18.0
MCS_SCS	2144098	18.0
MCS_SCS	9607727	18.0
MCS_SCS	20830593	18.0
MCS_SCS	9559627	12.681057432982694
MCS_SCS	16621454	18.0
MCS_SCS	11175783	18.0
MCS_SCS	10894217	18.0
MCS_SCS	8968716	18.0
MCS_SCS	22565185	18.0
MCS_SCS	14729965	18.0
MCS_SCS	11897778	18.0
MCS_SCS	17697873	18.0
MCS_SCS	1999491	18.0
MCS_SCS	22122778	18.0
MCS_SCS	9535666	18.0
MCS_SCS	8400068	18.0
MCS_SCS	21795745	18.0
MCS_SCS	8702647	18.0
MCS_SCS	29689250	18.0
